address,firstName,city,lastName,telephone
9-B Pine Rd,J,San Francisco,Lee,1234567890123
5 W. Oak Blvd,Johann,ThisCityNameIsCertainlyWayTooLongToBeValidInAnyDatabaseSystem,McDonald,2125551234
100# Maple Avenue,Jo,Atlantis,O'Neil,123-456-7890
LongAddressWithoutSpaces1234567890,Jo,New York,Brown,6095916230
Broadway Avenue,J,New York,Johnson,123-456-7890
LongAddressWithoutSpaces1234567890,Jonathan,St. Louis,Van-Dyke,2125551234
123 Elm Street with a very very very very very very very very very very very very very very very very long address,Johann,St. Louis,Lee,609-591-6230
123 Elm Street with a very very very very very very very very very very very very very very very very long address,Alice,ThisCityNameIsCertainlyWayTooLongToBeValidInAnyDatabaseSystem,O'Neil,609.591.6230
1st Ave @ Central Park,Alice,Los Angeles,Johnson,1234567890123
LongAddressWithoutSpaces1234567890,John,ThisCityNameIsCertainlyWayTooLongToBeValidInAnyDatabaseSystem,Williams,(609)5916230
 ,Johann, ,Smith,12345abcde
Broadway Avenue,Jonathan,San Francisco,Van-Dyke,609-591-6230
5 W. Oak Blvd,J,St. Louis,Van-Dyke,609.591.6230
1st Ave @ Central Park,John,St. Louis,McDonald,6095916230
9-B Pine Rd,Jonathan,Atlantis,Brown,2125551234
Broadway Avenue,Mary,Dallas2,Van-Dyke,1234567890123
123 Elm Street with a very very very very very very very very very very very very very very very very long address,Jonathan,Co-Op City,Williams,1234567
9-B Pine Rd,Robert,St. Louis,Johnson,123-456-7890
1st Ave @ Central Park,J,Atlantis,Lee,12345abcde
9-B Pine Rd,Robert,Los Angeles,Lee,609.591.6230
Broadway Avenue,Alice,St. Louis,O'Neil,(609)5916230
100# Maple Avenue,Jo,St. Louis,Smith,1234567890123
100# Maple Avenue,Mary,ThisCityNameIsCertainlyWayTooLongToBeValidInAnyDatabaseSystem,O'Neil,609-591-6230
LongAddressWithoutSpaces1234567890,Alice,Atlantis,Lee,123-456-7890
 ,Alice,Atlantis,Van-Dyke,6095916230
LongAddressWithoutSpaces1234567890,Robert, ,O'Neil,2125551234
123A Elm St.,Johann,Los Angeles,O'Neil,2125551234
6789 North 5th St.,J,Los Angeles,Brown,12345abcde
1st Ave @ Central Park,Jonathan, ,Johnson,609.591.6230
123 Elm Street with a very very very very very very very very very very very very very very very very long address,Robert,Phoenix@,Van-Dyke,6095916230
123A Elm St.,Alice, ,Williams,6095916230
123 Elm Street with a very very very very very very very very very very very very very very very very long address,John, ,Van-Dyke,123-456-7890
123A Elm St.,J,St. Louis,O'Neil,12345abcde
 ,John,St. Louis,Brown,1234567
123 Elm Street with a very very very very very very very very very very very very very very very very long address,Robert,New York,McDonald,1234567890123
123 Elm Street with a very very very very very very very very very very very very very very very very long address,Jo,Atlantis,McDonald,(609)5916230
5 W. Oak Blvd,John,San Francisco,Smith,12345abcde
123 Elm Street with a very very very very very very very very very very very very very very very very long address,Mary,Los Angeles,Johnson,12345abcde
9-B Pine Rd,Johann,Co-Op City,Brown,609-591-6230
Broadway Avenue,Mary,Phoenix@,Lee,2125551234
9-B Pine Rd,Mary, ,Smith,609-591-6230
9-B Pine Rd,J,ThisCityNameIsCertainlyWayTooLongToBeValidInAnyDatabaseSystem,McDonald,1234567
1st Ave @ Central Park,Johann,San Francisco,O'Neil,1234567
5 W. Oak Blvd,Mary,Co-Op City,Williams,123-456-7890
123A Elm St.,Jonathan,San Francisco,McDonald,6095916230
6789 North 5th St.,Jonathan,ThisCityNameIsCertainlyWayTooLongToBeValidInAnyDatabaseSystem,Smith,6095916230
6789 North 5th St.,John,Phoenix@,O'Neil,609.591.6230
Broadway Avenue,Alice,Co-Op City,O'Neil,12345abcde
1st Ave @ Central Park,Mary,ThisCityNameIsCertainlyWayTooLongToBeValidInAnyDatabaseSystem,Van-Dyke,(609)5916230
5 W. Oak Blvd,J,Phoenix@,Lee,(609)5916230
 ,Jonathan,Los Angeles,Williams,2125551234
100# Maple Avenue,Robert,San Francisco,McDonald,609.591.6230
6789 North 5th St.,Johann,Co-Op City,Van-Dyke,609-591-6230
5 W. Oak Blvd,Johann,New York,Smith,609-591-6230
LongAddressWithoutSpaces1234567890,John,Co-Op City,Johnson,1234567890123
6789 North 5th St.,Mary,New York,O'Neil,1234567
123 Elm Street with a very very very very very very very very very very very very very very very very long address,J, ,Smith,2125551234
 ,Jo,ThisCityNameIsCertainlyWayTooLongToBeValidInAnyDatabaseSystem,Lee,123-456-7890
6789 North 5th St.,Robert,Los Angeles,Williams,(609)5916230
100# Maple Avenue,Johann,Dallas2,Johnson,123-456-7890
1st Ave @ Central Park,Johann,New York,Brown,609.591.6230
100# Maple Avenue,Jonathan,St. Louis,Williams,1234567
123 Elm Street with a very very very very very very very very very very very very very very very very long address,Jo,Dallas2,Smith,609-591-6230
5 W. Oak Blvd,Robert,Los Angeles,Williams,1234567
123A Elm St.,Alice,Phoenix@,Van-Dyke,123-456-7890
100# Maple Avenue,John,Phoenix@,Johnson,2125551234
9-B Pine Rd,John,Atlantis,Smith,609-591-6230
Broadway Avenue,Alice,St. Louis,Williams,609-591-6230
